"","Metodo","bissecao","","","","","","","Metodo","newton","","","","","","","Metodo","secante","","",""
"X","Tolerancia 1","Tolerancia 2","Tolerancia 3","","","","","X","Tolerancia 1","Tolerancia 2","Tolerancia 3","","","","","X","Tolerancia 1","Tolerancia 2","Tolerancia 3","",""
"0.9044","0.000399999999999956","0.00109004324811801","1","","","","","0.910164815012094","0.110164815012094","0.015134772218345","0.121038314374556","","","","","0.800234395846675","9.19976560415333","0.280045766250437","11.4963386376559","",""
"0.9046","0.000199999999999978","0.000528527136077761","0.000221092195445476","","","","","0.904800871807076","0.0053639432050171","3.55361507666796e-05","0.00592831347996403","","","","","0.800468286969196","0.000233891122520813","0.279449726732315","0.000292192865511752","",""
"0.9047","9.9999999999989e-05","0.000247732007811141","0.000110533878633789","","","","","0.904788217943475","1.26538636016083e-05","1.97861060868831e-10","1.39854425053961e-05","","","","","0.910126805047931","0.109658518078735","0.0150275260081525","0.120487076603529","",""
"0.90475","4.99999999999945e-05","0.000107325175763506","5.5263885051113e-05","","","","","0.904788217873019","7.04559743880395e-11","0","7.78701280545715e-11","","","","","0.9045307998655","0.00559600518243086","0.000722823273701989","0.00618663862332047","",""
"0.904775","2.49999999999417e-05","3.71194427792876e-05","2.76311790224672e-05","","","","","","","","","","","","","0.904787614664539","0.000256814799039273","1.69398562865908e-06","0.000283839870127412","",""
"0.9047875","1.24999999999709e-05","2.01599704974242e-06","1.38153986432957e-05","","","","","","User","System","Elapsed","Cumulative","Spawned","","","0.904788217941352","6.03276813171405e-07","1.91900051405014e-10","6.66760244230445e-07","",""
"0.90479375","6.24999999998543e-06","1.55358706241948e-05","6.90765160566752e-06","","","","","Time:","0.0590000000000011","0","0.0599999999999454","0","0","","","0.904788217873019","6.83333389872587e-11","0","7.55241255770296e-11","",""
"0.904790625","3.12499999999272e-06","6.75992471976805e-06","3.45383773178764e-06","","","","","","","","","","","","","","","","","",""
"0.9047890625","1.56250000005187e-06","2.37196081820379e-06","1.72692184808638e-06","","","","","","","","","","","","","","User","System","Elapsed","Cumulative","Spawned"
"0.90478828125","7.81250000025935e-07","1.77981130056182e-07","8.63461669669956e-07","","","","","","","","","","","","","Time:","0.0289999999999999","0","0.0299999999999727","0","0"
"0.904787890625","3.90625000012967e-07","9.19008148470013e-07","4.31731021226572e-07","","","","","","","","","","","","","","","","","",""
"0.9047880859375","1.95312499950973e-07","3.70513556058327e-07","2.1586546407673e-07","","","","","","","","","","","","","","","","","",""
"0.90478818359375","9.76562499754863e-08","9.62662247694368e-08","1.07932720327539e-07","","","","","","","","","","","","","","","","","",""
"0.904788232421875","4.88281249877431e-08","4.08574496457703e-08","5.39663572514016e-08","","","","","","","","","","","","","","","","","",""
"0.904788208007813","2.44140624383604e-08","2.77043881169448e-08","2.69831792924401e-08","","","","","","","","","","","","","","","","","",""
"0.904788220214844","1.22070311636691e-08","6.57653065339048e-09","1.34915894028444e-08","","","","","","","","","","","","","","","","","",""
"0.904788214111328","6.10351558183453e-09","1.0563929064844e-08","6.74579474692796e-09","","","","","","","","","","","","","","","","","",""
"0.904788217163086","3.05175773540611e-09","1.99369920572678e-09","3.37289742344019e-09","","","","","","","","","","","","","","","","","",""
"0.904788218688965","1.52587886770306e-09","2.29141572383185e-09","1.68644864752334e-09","","","","","","","","","","","","","","","","","",""
"0.904788217926026","7.6293948936268e-10","1.48858481097136e-10","8.43224263120051e-10","","","","","","","","","","","","","","","","","",""
"0.904788217544556","3.8146974468134e-10","9.22420362314824e-10","4.21612193090428e-10","","","","","","","","","","","","","","","","","",""
"0.904788217735291","1.9073487234067e-10","3.86780829586542e-10","2.10806096500775e-10","","","","","","","","","","","","","","","","","",""
"0.904788217830658","9.53674916814862e-11","1.18961285267005e-10","1.05402986886632e-10","","","","","","","","","","","","","","","","","",""
"0.904788217878342","4.76837458407431e-11","1.4948486892763e-11","5.27015547931844e-11","","","","","","","","","","","","","","","","","",""
"0.9047882178545","2.38419284315228e-11","5.20066212317261e-11","2.63508387499326e-11","","","","","","","","","","","","","","","","","",""
"0.904788217866421","1.19210197269126e-11","1.8529178191784e-11","1.31753580221467e-11","","","","","","","","","","","","","","","","","",""
"0.904788217872381","5.96045435230508e-12","1.7901236049056e-12","6.58780171632194e-12","","","","","","","","","","","","","","","","","",""
"0.904788217875362","2.98028268730377e-12","6.57918164392868e-12","3.29390085815012e-12","","","","","","","","","","","","","","","","","",""
"0.904788217873872","1.49014134365189e-12","2.39452901951154e-12","1.64695042907777e-12","","","","","","","","","","","","","","","","","",""
"0.904788217873126","7.45070671825943e-13","3.02202707302968e-13","8.23475214539564e-13","","","","","","","","","","","","","","","","","",""
"0.904788217872754","3.7247982476174e-13","7.43849426498855e-13","4.11676254623957e-13","","","","","","","","","","","","","","","","","",""
"0.90478821787294","1.86184401229639e-13","2.20712337295481e-13","2.05899479957931e-13","","","","","","","","","","","","","","","","","",""
"0.904788217873033","9.30366894635881e-14","4.06341627012807e-14","1.02827034686966e-13","","","","","","","","","","","","","","","","","",""
"0.904788217872987","4.65183447317941e-14","8.99280649946377e-14","5.14135173434854e-14","","","","","","","","","","","","","","","","","",""
"0.90478821787301","2.33146835171283e-14","2.48689957516035e-14","2.56454060257474e-14","","","","","","","","","","","","","","","","","",""
"0.904788217873022","1.16573417585641e-14","7.99360577730113e-15","1.28840556588682e-14","","","","","","","","","","","","","","","","","",""
"0.904788217873016","5.88418203051333e-15","8.65973959207622e-15","6.50338047542873e-15","","","","","","","","","","","","","","","","","",""
"0.904788217873019","2.99760216648792e-15","6.66133814775094e-16","3.19033759171975e-15","","","","","","","","","","","","","","","","","",""
"0.90478821787302","1.55431223447522e-15","3.99680288865056e-15","1.71787408784909e-15","","","","","","","","","","","","","","","","","",""
"0.904788217873019","7.7715611723761e-16","1.55431223447522e-15","8.58937043924546e-16","","","","","","","","","","","","","","","","","",""
"0.904788217873019","4.44089209850063e-16","8.88178419700125e-16","3.68115875967663e-16","","","","","","","","","","","","","","","","","",""
"0.904788217873019","2.22044604925031e-16","0","2.45410583978442e-16","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","User","System","Elapsed","Cumulative","Spawned","","","","","","","","","","","","","","","",""
"Time:","0.0509999999999984","0","0.0520000000001346","0","0","","","","","","","","","","","","","","","",""
