"","Metodo","bissecao","","","","","","","Metodo","newton","","","","","","","Metodo","secante","","",""
"X","Tolerancia 1","Tolerancia 2","Tolerancia 3","","","","","X","Tolerancia 1","Tolerancia 2","Tolerancia 3","","","","","X","Tolerancia 1","Tolerancia 2","Tolerancia 3","",""
"2.5","2.5","7.6935342114456","1","","","","","59","1","2.10060520189526e+25","0.0169491525423729","","","","","3","4.44089209850063e-16","12.0227534547947","1.48029736616688e-16","",""
"1.25","1.25","1.11452675394038","1","","","","","58","1","7.72769467795052e+24","0.0172413793103448","","","","","1.33333333333333","1.66666666666667","1.42635880073561","1.25","",""
"0.625","0.625","0.687803260294325","1","","","","","57","1","2.84285999966797e+24","0.0175438596491228","","","","","1.10898677532909","0.224346558004239","0.624505067663881","0.20229867749114","",""
"0.9375","0.3125","0.0931845788465084","0.333333333333333","","","","","56","1","1.0458297480065e+24","0.0178571428571429","","","","","0.934259694057199","0.174727081271895","0.0838363930015269","0.187021962290923","",""
"0.78125","0.15625","0.32796736172435","0.2","","","","","55","1","3.84739263257101e+23","0.0181818181818182","","","","","0.907166413199623","0.0270932808575755","0.00668565715707858","0.0298658332841226","",""
"0.859375","0.078125","0.124979894746217","0.0909090909090909","","","","","54","1","1.41537665163735e+23","0.0185185185185185","","","","","0.904818588709143","0.00234782449048054","8.52913426085955e-05","0.00259480134446625","",""
"0.8984375","0.0390625","0.0177848234468063","0.0434782608695652","","","","","53","1","5.20687971651454e+22","0.0188679245283019","","","","","0.904788249617548","3.03390915944446e-05","8.9147937476497e-08","3.35317038072376e-05","",""
"0.91796875","0.01953125","0.0372293404357873","0.0212765957446809","","","","","52","1","1.91550400035829e+22","0.0192307692307692","","","","","0.904788217873443","3.17441052333223e-08","1.19171339463264e-12","3.5084569633247e-08","",""
"0.908203125","0.009765625","0.00960446740764698","0.010752688172043","","","","","51","1","7.04674541213469e+21","0.0196078431372549","","","","","0.904788217873019","4.24438262314197e-13","2.22044604925031e-16","4.69102331274792e-13","",""
"0.9033203125","0.0048828125","0.00411964539929577","0.00540540540540541","","","","","50","1","2.59235276429354e+21","0.02","","","","","0.904788217873019","1.11022302462516e-16","0","1.22705291989221e-16","",""
"0.90576171875","0.00244140625","0.00273504661036905","0.00269541778975741","","","","","49","1","9.5367328624755e+20","0.0204081632653061","","","","","","","","","",""
"0.904541015625","0.001220703125","0.000694140799307963","0.00134952766531714","","","","","48","1","3.50836795604882e+20","0.0208333333333333","","","","","","User","System","Elapsed","Cumulative","Spawned"
