"","","","","","","","","","Metodo","newton","","","","","","","Metodo","secante","","",""
"","User","System","Elapsed","Cumulative","Spawned","","","X","Tolerancia 1","Tolerancia 2","Tolerancia 3","","","","","X","Tolerancia 1","Tolerancia 2","Tolerancia 3","",""
"Time:","0.0330000000000013","0","0.0329999999999018","0","0","","","0.547636363636364","0.0476363636363636","0.000328663664615598","0.0869853917662682","","","","","0.500255984367367","0.499744015632633","0.000508961867965908","0.998976586486254","",""
"","","","","","","","","0.535321312264013","0.0123150513723509","3.4569981277351e-05","0.023004971201814","","","","","0.500510459972294","0.000254475604926863","0.000506207216510101","0.000508432141340162","",""
"","","","","","","","","0.533695160329372","0.00162615193464111","5.20312151836228e-07","0.00304696773648373","","","","","0.547274048653621","0.0467635886813268","0.0003190261379294","0.0854482115429601","",""
"","","","","","","","","0.53366992908683","2.52312425411683e-05","1.22975260183344e-10","4.72787413455013e-05","","","","","0.529195759630929","0.0180782890226917","8.84512255741104e-05","0.0341618176141469","",""
"","","","","","","","","0.533669923120631","5.9661990903237e-09","7.37257477290143e-18","1.11795678037023e-08","","","","","0.533120018899202","0.00392425926827289","1.1276404262096e-05","0.00736093023926543","",""
"","","","","","","","","","","","","","","","","0.533693412308944","0.00057339340974194","4.84265517421666e-07","0.00107438727276254","",""
"","","","","","","","","","User","System","Elapsed","Cumulative","Spawned","","","0.533669801863156","2.36104457875808e-05","2.49935522126689e-09","4.42416747306136e-05","",""
"","","","","","","","","Time:","0.0500000000000007","0","0.0509999999999309","0","0","","","0.533669923093948","1.21230791849669e-07","5.49991259132798e-13","2.27164369966429e-07","",""
"","","","","","","","","","","","","","","","","0.533669923120631","2.6683100173841e-11","6.50521303491303e-19","4.99992580016722e-11","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","User","System","Elapsed","Cumulative","Spawned"
"","","","","","","","","","","","","","","","","Time:","0.0300000000000011","0","0.0300000000002001","0","0"
