"","Metodo","bissecao","","","","","","","","","","","","","","","Metodo","secante","","",""
"X","Tolerancia 1","Tolerancia 2","Tolerancia 3","","","","","","User","System","Elapsed","Cumulative","Spawned","","","X","Tolerancia 1","Tolerancia 2","Tolerancia 3","",""
"0","1","0.001","NaN","","","","","Time:","0.036999999999999","0","0.0379999999997835","0","0","","","1.024","0.524","1.29707421463371","0.51171875","",""
"0.5","0.5","0.00051171875","1","","","","","","","","","","","","","0.500206645755091","0.523793354244909","0.000509494329681309","1.04715392866125","",""
"0.75","0.25","0.0412351360321045","0.333333333333333","","","","","","","","","","","","","0.500412312443159","0.000205666688067319","0.000507271305289458","0.000410994459874886","",""
"0.625","0.125","0.0046843418860808","0.2","","","","","","","","","","","","","0.547343335644211","0.0469310232010528","0.000320864232553399","0.0857432988488222","",""
"0.5625","0.0625","0.000783806715650371","0.111111111111111","","","","","","","","","","","","","0.529159733982126","0.0181836016620857","8.9133596055455e-05","0.0343631619988302","",""
"0.53125","0.03125","4.87637905424989e-05","0.0588235294117647","","","","","","","","","","","","","0.533112852004436","0.00395311802231002","1.1422603271187e-05","0.00741516173817008","",""
"0.546875","0.015625","0.000308485077193779","0.0285714285714286","","","","","","","","","","","","","0.533693913926761","0.00058106192232521","4.9460946000327e-07","0.00108875500949585","",""
"0.5390625","0.0078125","0.000116941254436822","0.0144927536231884","","","","","","","","","","","","","0.533669797656446","2.41162703152886e-05","2.58606369868755e-09","4.51894981151129e-05","",""
"0.53515625","0.00390625","3.10663663496652e-05","0.0072992700729927","","","","","","","","","","","","","0.533669923092433","1.25435986819689e-07","5.8122538899863e-13","2.35044137568837e-07","",""
"0.533203125","0.001953125","9.57966922270114e-06","0.00366300366300366","","","","","","","","","","","","","0.533669923120631","2.81984435801519e-11","6.50521303491303e-19","5.28387348780342e-11","",""
"0.5341796875","0.0009765625","1.05575861639676e-05","0.00182815356489945","","","","","","","","","","","","","","","","","",""
"0.53369140625","0.00048828125","4.42899221588921e-07","0.000914913083257091","","","","","","","","","","","","","","User","System","Elapsed","Cumulative","Spawned"
"0.533447265625","0.000244140625","4.57985244855445e-06","0.00045766590389016","","","","","","","","","","","","","Time:","0.0279999999999987","0","0.02800000000002","0","0"
"0.5335693359375","0.0001220703125","2.07134938247388e-06","0.00022878059940517","","","","","","","","","","","","","","","","","",""
"0.53363037109375","6.103515625e-05","8.14944012247302e-07","0.000114377216058561","","","","","","","","","","","","","","","","","",""
"0.533660888671875","3.0517578125e-05","1.86202220799027e-07","5.7185337679419e-05","","","","","","","","","","","","","","","","","",""
"0.533676147460938","1.52587890625e-05","1.28303532457913e-07","2.85918513223731e-05","","","","","","","","","","","","","","","","","",""
"0.533668518066406","7.62939453125e-06","2.89605847083544e-08","1.42961300375988e-05","","","","","","","","","","","","","","","","","",""
"0.533672332763672","3.814697265625e-06","4.96686635596474e-08","7.14801392433112e-06","","","","","","","","","","","","","","","","","",""
"0.533670425415039","1.9073486328125e-06","1.03533368694692e-08","3.57401973573698e-06","","","","","","","","","","","","","","","","","",""
"0.533669471740723","9.5367431640625e-07","9.30379955564088e-09","1.78701306127846e-06","","","","","","","","","","","","","","","","","",""
"0.533669948577881","4.76837158203125e-07","5.24724747376706e-10","8.93505732286025e-07","","","","","","","","","","","","","","","","","",""
"0.533669710159302","2.38418579101562e-07","4.38954838146224e-09","4.46753065731225e-07","","","","","","","","","","","","","","","","","",""
"0.533669829368591","1.19209289550781e-07","1.93241456126689e-09","2.23376482968548e-07","","","","","","","","","","","","","","","","","",""
"0.533669888973236","5.96046447753906e-08","7.03845593136646e-10","1.11688229010012e-07","","","","","","","","","","","","","","","","","",""
"0.533669918775558","2.98023223876953e-08","8.95605944007533e-11","5.58441113864412e-08","","","","","","","","","","","","","","","","","",""
"0.53366993367672","1.49011611938477e-08","2.17582033553571e-10","2.79220549135794e-08","","","","","","","","","","","","","","","","","",""
"0.533669926226139","7.45058059692383e-09","6.40107088428071e-11","1.39610276517e-08","","","","","","","","","","","","","","","","","",""
"0.533669922500849","3.72529029846191e-09","1.27749453810583e-11","6.98051387457758e-09","","","","","","","","","","","","","","","","","",""
