"","Metodo","bissecao","","","","","","","Metodo","newton","","","","","","","Metodo","secante","","",""
"X","Tolerancia 1","Tolerancia 2","Tolerancia 3","","","","","X","Tolerancia 1","Tolerancia 2","Tolerancia 3","","","","","X","Tolerancia 1","Tolerancia 2","Tolerancia 3","",""
"2.55","0.45","0.162961934115646","1","","","","","2.17686537389158","0.576865373891581","0.483512405956242","0.264998185377132","","","","","3.0477774138711","1.0477774138711","0.348704163172528","0.34378409955479","",""
"2.775","0.225","0.0573058234755539","0.0810810810810811","","","","","2.44882455588344","0.271959181991863","0.255637359214279","0.111057029928283","","","","","2.66814251664152","0.379634897229586","0.0496740268156945","0.142284340083694","",""
"2.6625","0.1125","0.0552055236178659","0.0422535211267607","","","","","2.58368225896894","0.134857703085496","0.131210718266635","0.0521959318400527","","","","","2.71547943050649","0.0473369138649722","0.00280095289737048","0.0174322491023778","",""
"2.71875","0.0562500000000004","0.000468211855392919","0.0206896551724139","","","","","2.65099688406919","0.0673146251002517","0.0664452435436149","0.0253921932178683","","","","","2.71830810067806","0.00282867017157296","2.62723459787395e-05","0.00104059954457236","",""
"2.690625","0.0281250000000002","0.0275156533317555","0.0104529616724739","","","","","2.68464113982728","0.0336442557580869","0.0334316607192431","0.0125321240366046","","","","","2.71828181490491","2.62857731558874e-05","1.35541373680326e-08","9.66999558756456e-06","",""
"2.7046875","0.0140625000000001","0.013560278528542","0.00519930675909882","","","","","2.70146170287324","0.0168205630459601","0.0167679783110657","0.00622646733361795","","","","","2.71828182845898","1.35540716428295e-08","6.57252030578093e-14","4.98626430156194e-09","",""
"2.71171875","0.00703124999999982","0.00655514905551824","0.00259291270527235","","","","","2.7098717927513","0.00841008987806369","0.00839701245258695","0.00310350102191551","","","","","2.71828182845905","6.57252030578093e-14","0","2.41789509717864e-14","",""
"2.715234375","0.00351562499999991","0.00304574457717655","0.00129477772982301","","","","","2.71407681397504","0.00420502122373234","0.00420176035645481","0.00154933758767633","","","","","","","","","",""
"2.7169921875","0.00175781250000018","0.00128933498692918","0.000646970023722136","","","","","2.71617932163729","0.00210250766225784","0.00210169350007128","0.000774068061526387","","","","","","User","System","Elapsed","Cumulative","Spawned"
