"","Metodo","bissecao","","","","","","","Metodo","newton","","","","","","","Metodo","secante","","",""
"X","Tolerancia 1","Tolerancia 2","Tolerancia 3","","","","","X","Tolerancia 1","Tolerancia 2","Tolerancia 3","","","","","X","Tolerancia 1","Tolerancia 2","Tolerancia 3","",""
"2","1","0.457657554360286","1","","","","","1.45464871341284","0.454648713412841","0.116672734655915","0.312548802484527","","","","","1.58385316345286","0.416146836547143","0.0130575786893467","0.262743318730334","",""
"1.5","0.5","0.0709148443026524","0.333333333333333","","","","","1.5697545665339","0.115105853121055","0.00104176063786268","0.0733272930527064","","","","","1.57163123281434","0.0122219306385181","0.000834906213438238","0.00777658930627899","",""
"1.75","0.25","0.181146952571598","0.142857142857143","","","","","1.57079632604117","0.00104175950727736","7.53723367223001e-10","0.000663204700702907","","","","","1.57079637727432","0.000834855540015722","5.04794270215734e-08","0.000531485526764697","",""
"1.625","0.125","0.0542568198186416","0.0769230769230769","","","","","1.5707963267949","7.53723305990661e-10","6.12323399573677e-17","4.79835159487916e-10","","","","","1.57079632679491","5.04794153144417e-08","1.17071317210693e-14","3.21361938867282e-08","",""
"1.5625","0.0625","0.00829651714286875","0.04","","","","","","","","","","","","","1.5707963267949","1.17683640610267e-14","6.12323399573677e-17","7.49197324966962e-15","",""
"1.59375","0.03125","0.0229577052639766","0.0196078431372549","","","","","","User","System","Elapsed","Cumulative","Spawned","","","","","","","",""
"1.578125","0.015625","0.00732880441426025","0.0099009900990099","","","","","Time:","0.0569999999999986","0","0.0579999999999927","0","0","","","","User","System","Elapsed","Cumulative","Spawned"
"1.5703125","0.0078125","0.000483826832649364","0.00497512437810945","","","","","","","","","","","","","Time:","0.0280000000000022","0","0.0270000000000437","0","0"
"1.57421875","0.00390625","0.00342243656742485","0.00248138957816377","","","","","","","","","","","","","","","","","",""
"1.572265625","0.001953125","0.00146929926242951","0.00124223602484472","","","","","","","","","","","","","","","","","",""
"1.5712890625","0.0009765625","0.000492735744980235","0.000621504039776259","","","","","","","","","","","","","","","","","",""
"1.57080078125","0.00048828125","4.45445510341023e-06","0.000310848616723656","","","","","","","","","","","","","","","","","",""
"1.570556640625","0.000244140625","0.000239686174486566","0.000155448468832582","","","","","","","","","","","","","","","","","",""
"1.5706787109375","0.0001220703125","0.000117615857938965","7.77181938291754e-05","","","","","","","","","","","","","","","","","",""
"1.57073974609375","6.103515625e-05","5.65807012069979e-05","3.88575869438508e-05","","","","","","","","","","","","","","","","","",""
"1.57077026367188","3.0517578125e-05","2.60631230275207e-05","1.94284160012434e-05","","","","","","","","","","","","","","","","","",""
"1.57078552246094","1.52587890625e-05","1.08043339595396e-05","9.71411363570131e-06","","","","","","","","","","","","","","","","","",""
"1.57079315185547","7.62939453125e-06","3.1749394278799e-06","4.85703322696431e-06","","","","","","","","","","","","","","","","","",""
"1.57079696655273","3.814697265625e-06","6.39757837755856e-07","2.42851071580353e-06","","","","","","","","","","","","","","","","","",""
"1.5707950592041","1.9073486328125e-06","1.26759079505741e-06","1.21425683231963e-06","","","","","","","","","","","","","","","","","",""
"1.57079601287842","9.5367431640625e-07","3.13916478650492e-07","6.07128047555126e-07","","","","","","","","","","","","","","","","","",""
"1.57079648971558","4.76837158203125e-07","1.62920679552645e-07","3.03563931626474e-07","","","","","","","","","","","","","","","","","",""
"1.570796251297","2.38418579101562e-07","7.5497899548919e-08","1.51781988851006e-07","","","","","","","","","","","","","","","","","",""
"1.57079637050629","1.19209289550781e-07","4.37113900018625e-08","7.58909886660603e-08","","","","","","","","","","","","","","","","","",""
"1.57079631090164","5.96046447753906e-08","1.58932547735282e-08","3.79454957728907e-08","","","","","","","","","","","","","","","","","",""
"1.57079634070396","2.98023223876953e-08","1.39090676141671e-08","1.89727475264802e-08","","","","","","","","","","","","","","","","","",""
"1.5707963258028","1.49011611938477e-08","9.9209357968054e-10","9.4863738532314e-09","","","","","","","","","","","","","","","","","",""
"1.57079633325338","7.45058059692383e-09","6.45848701724329e-09","4.74318690411788e-09","","","","","","","","","","","","","","","","","",""
"1.57079632952809","3.72529029846191e-09","2.73319671878137e-09","2.37159345768339e-09","","","","","","","","","","","","","","","","","",""
"1.57079632766545","1.86264514923096e-09","8.70551569550417e-10","1.18579673024781e-09","","","","","","","","","","","","","","","","","",""
"1.57079632673413","9.31322574615479e-10","6.07710050650619e-11","5.92898365475434e-10","","","","","","","","","","","","","","","","","",""
"1.57079632719979","4.65661287307739e-10","4.04890282242677e-10","2.96449182649835e-10","","","","","","","","","","","","","","","","","",""
"1.57079632696696","2.3283064365387e-10","1.72059638588808e-10","1.48224591346888e-10","","","","","","","","","","","","","","","","","",""
"1.57079632685054","1.16415321826935e-10","5.56443167618729e-11","7.41122956789366e-11","","","","","","","","","","","","","","","","","",""
"1.57079632679233","5.82076609134674e-11","2.56334415159452e-12","3.70561478408415e-11","","","","","","","","","","","","","","","","","",""
"1.57079632682144","2.91038304567337e-11","2.65404863051392e-11","1.85280739200774e-11","","","","","","","","","","","","","","","","","",""
"1.57079632680689","1.45519152283669e-11","1.19885710767723e-11","9.26403696012454e-12","","","","","","","","","","","","","","","","","",""
"1.57079632679961","7.27595761418343e-12","4.71261346258891e-12","4.63201848008373e-12","","","","","","","","","","","","","","","","","",""
"1.57079632679597","3.63797880709171e-12","1.07463465549719e-12","2.31600924004723e-12","","","","","","","","","","","","","","","","","",""
"1.57079632679415","1.81898940354586e-12","7.44354748048662e-13","1.15800462002495e-12","","","","","","","","","","","","","","","","","",""
"1.57079632679506","9.09494701772928e-13","1.65139953724266e-13","5.79002310012142e-13","","","","","","","","","","","","","","","","","",""
"1.57079632679461","4.54747350886464e-13","2.89607397162198e-13","2.89501155006155e-13","","","","","","","","","","","","","","","","","",""
