"","Metodo","bissecao","","","","","","","","","","","","","","","Metodo","secante","","",""
"X","Tolerancia 1","Tolerancia 2","Tolerancia 3","","","","","","User","System","Elapsed","Cumulative","Spawned","","","X","Tolerancia 1","Tolerancia 2","Tolerancia 3","",""
"3","1","0.848437163485465","1","","","","","Time:","0.05600000000004","0","0.0559999999995853","0","0","","","15.7609440881303","10.5609440881303","1.05157829368647","0.670070525539382","",""
"2.5","0.5","0.18066300891894","0.2","","","","","","","","","","","","","36.5164995057273","20.7555554175971","1.60370562018418","0.568388418893813","",""
"2.25","0.25","0.177273044783055","0.111111111111111","","","","","","","","","","","","","-23.7699584828414","60.2864579885688","0.660311107306027","2.53624582609545","",""
"2.375","0.125","0.00107599212264509","0.0526315789473684","","","","","","","","","","","","","-6.18712998752399","17.5828284953174","0.89934255699733","2.84183919374124","",""
"2.4375","0.0625","0.0895429294798986","0.0256410256410256","","","","","","","","","","","","","-16.3259103463592","10.1387803588352","0.215098719475967","0.621023890474582","",""
"2.40625","0.03125","0.0441178735682957","0.012987012987013","","","","","","","","","","","","","-19.5131347722796","3.18722442592033","1.45986716761323","0.163337385976963","",""
"2.390625","0.015625","0.0214852001657693","0.0065359477124183","","","","","","","","","","","","","-15.7751509712129","3.73798380106669","0.930557841825831","0.236953916186787","",""
"2.3828125","0.0078125","0.0101948006759995","0.00327868852459016","","","","","","","","","","","","","-9.20354913229561","6.57160183891726","1.1970225668347","0.714029092956896","",""
"2.37890625","0.00390625","0.00455684413529389","0.00164203612479475","","","","","","","","","","","","","-38.724738855155","29.5211897228594","1.57473360842503","0.762334120141641","",""
"2.376953125","0.001953125","0.00173977226020194","0.000821692686935086","","","","","","","","","","","","","84.3534995292545","123.07823838441","0.427852792346242","1.45907685005677","",""
"2.3759765625","0.0009765625","0.000331724915455966","0.00041101520756268","","","","","","","","","","","","","130.268791887069","45.9152923578141","1.62999861473141","0.352465787796808","",""
"2.37548828125","0.00048828125","0.000372175106707395","0.000205549845837616","","","","","","","","","","","","","68.01189963274","62.2568922543286","1.59042149754694","0.91538234618518","",""
"2.375732421875","0.000244140625","2.02354445479891e-05","0.000102764361319494","","","","","","","","","","","","","-2433.80497980903","2501.81687944177","1.55121764943823","1.02794467929722","",""
"2.3758544921875","0.0001220703125","0.000155742151579652","5.13795406669064e-05","","","","","","","","","","","","","-101425.681703006","98991.876723197","1.44837203554138","0.976004055985192","",""
"2.37579345703125","6.103515625e-05","6.77527071277773e-05","2.56904303147078e-05","","","","","","","","","","","","","-1495525.63948472","1394099.95778171","1.61510363192934","0.932180579840843","",""
"2.37576293945312","3.0517578125e-05","2.37584696405335e-05","1.28453801590258e-05","","","","","","","","","","","","","12008908.7560605","13504434.3955452","0.531984074810039","1.12453468253141","",""
