"","Metodo","bissecao","","","","","","","Metodo","newton","","","","","","","Metodo","secante","","",""
"X","Tolerancia 1","Tolerancia 2","Tolerancia 3","","","","","X","Tolerancia 1","Tolerancia 2","Tolerancia 3","","","","","X","Tolerancia 1","Tolerancia 2","Tolerancia 3","",""
"0.85","0.0499999999999999","0.000560560515872888","1","","","","","0.873346418593371","0.0433464185933713","0.00603043018260724","0.049632560082156","","","","","0.834330879672258","0.165669120327742","0.00293209084988166","0.198565250746586","",""
"0.875","0.0249999999999999","0.00664653475322424","0.0285714285714285","","","","","0.856886426724142","0.0164599918692291","0.000987294531172966","0.0192090706024546","","","","","0.838069881006499","0.0037390013342411","0.00250632781348048","0.00446144339389773","",""
"0.8625","0.0125","0.00248957067580452","0.0144927536231884","","","","","0.852907530152043","0.00397889657209916","5.3997078188206e-05","0.00466509724845536","","","","","0.860080159582724","0.0220102785762247","0.00181500889778885","0.025590961878371","",""
"0.85625","0.00624999999999998","0.000830766101261926","0.00729927007299267","","","","","0.852663297975924","0.000244232176119241","2.00419234153149e-07","0.000286434489087318","","","","","0.850835600751083","0.00924455883164099","0.000389708333979166","0.010865270357141","",""
"0.853125","0.00312500000000004","0.000102236334099615","0.00366300366300358","","","","","0.852662384689022","9.13286901660371e-07","2.79992695695341e-12","1.07110025968069e-06","","","","","0.852469679520342","0.00163407876925881","4.21630157504405e-05","0.00191687611714032","",""
"0.8515625","0.00156250000000002","0.000237308204680264","0.00183486238532113","","","","","0.852662384676263","1.27593491328071e-11","1.11022302462516e-16","1.49641280794291e-11","","","","","0.852667920397925","0.000198240877583467","1.21487349125093e-06","0.000232494823413728","",""
"0.85234375","0.000781249999999956","6.95812525227102e-05","0.000916590284143066","","","","","0.852662384676263","5.55111512312578e-16","1.66533453693773e-16","6.51033190027893e-16","","","","","0.852662368316179","5.55208174657373e-06","3.5900911687925e-09","6.51146567842308e-06","",""
"0.852734375","0.000390624999999978","1.58151107996218e-05","0.00045808520384789","","","","","0.852662384676263","7.7715611723761e-16","0","9.11446466039051e-16","","","","","0.852662384674878","1.63586995061138e-08","3.03868041839905e-13","1.91854358772393e-08","",""
"0.8525390625","0.000195312499999933","2.70110406804802e-05","0.000229095074455821","","","","","","","","","","","","","0.852662384676263","1.38478117861496e-12","1.11022302462516e-16","1.62406739584358e-12","",""
"0.85263671875","9.76562500000222e-05","5.62997459918613e-06","0.000114534417592382","","","","","","User","System","Elapsed","Cumulative","Spawned","","","0.852662384676262","6.66133814775094e-16","1.11022302462516e-16","7.81239828033473e-16","",""
"0.852685546875","4.88281249999556e-05","5.08456353448539e-06","5.72639294507868e-05","","","","","Time:","0.054000000000002","0","0.0549999999998363","0","0","","","0.852662384676263","3.33066907387547e-16","0","3.90619914016736e-16","",""
"0.8526611328125","2.44140624999778e-05","2.74706404790326e-07","2.86327845382703e-05","","","","","","","","","","","","","","","","","",""
"0.85267333984375","1.22070312499334e-05","2.4044283131186e-06","1.43161873129167e-05","","","","","","","","","","","","","","User","System","Elapsed","Cumulative","Spawned"
"0.852667236328125","6.1035156250222e-06","1.06473589545075e-06","7.1581448950648e-06","","","","","","","","","","","","","Time:","0.0289999999999999","0","0.02800000000002","0","0"
"0.852664184570313","3.05175781256661e-06","3.94983481033506e-07","3.57908525733783e-06","","","","","","","","","","","","","","","","","",""
"0.852662658691406","1.5258789062278e-06","6.01307220682301e-08","1.78954583126767e-06","","","","","","","","","","","","","","","","","",""
"0.852661895751953","7.62939453169409e-07","1.07289795381327e-07","8.94773716253124e-07","","","","","","","","","","","","","","","","","",""
"0.85266227722168","3.81469726584704e-07","2.35800251546792e-08","4.47386657971651e-07","","","","","","","","","","","","","","","","","",""
"0.852662467956543","1.90734863347863e-07","1.82752264987762e-08","2.23693279012234e-07","","","","","","","","","","","","","","","","","",""
"0.852662372589111","9.53674317294428e-08","2.65242994235138e-09","1.11846652080893e-07","","","","","","","","","","","","","","","","","",""
"0.852662420272827","4.76837158647214e-08","7.81139064542913e-09","5.59233229130281e-08","","","","","","","","","","","","","","","","","",""
"0.852662396430969","2.38418579323607e-08","2.57947846415973e-09","2.79616622383686e-08","","","","","","","","","","","","","","","","","",""
"0.85266238451004","1.19209290216915e-08","3.64761554294546e-11","1.39808313797513e-08","","","","","","","","","","","","","","","","","",""
"0.852662390470505","5.9604645663569e-09","1.27150101558726e-09","6.99041570611304e-09","","","","","","","","","","","","","","","","","",""
"0.852662387490273","2.98023228317845e-09","6.17512374567752e-10","3.495207865273e-09","","","","","","","","","","","","","","","","","",""
"0.852662386000156","1.49011614158923e-09","2.90517998546846e-10","1.74760393569062e-09","","","","","","","","","","","","","","","","","",""
"0.852662385255098","7.45058015283462e-10","1.2702089380312e-10","8.73802033712158e-10","","","","","","","","","","","","","","","","","",""
"0.852662384882569","3.72529007641731e-10","4.52723414312572e-11","4.36900951943642e-10","","","","","","","","","","","","","","","","","",""
"0.852662384696305","1.86264559332017e-10","4.3980374897501e-12","2.18450410916223e-10","","","","","","","","","","","","","","","","","",""
"0.852662384603173","9.31322796660083e-11","1.60390589698522e-11","1.09225270573361e-10","","","","","","","","","","","","","","","","","",""
"0.852662384649739","4.65660843218529e-11","5.82051074005108e-12","5.46127003870167e-11","","","","","","","","","","","","","","","","","",""
"0.852662384673022","2.32830421609265e-11","7.11319891877338e-13","2.73062850894437e-11","","","","","","","","","","","","","","","","","",""
"0.852662384684663","1.1641465569312e-11","1.84341431008761e-12","1.36530774412165e-11","","","","","","","","","","","","","","","","","",""
"0.852662384678843","5.82078829580723e-12","5.6621374255883e-13","6.82647361733583e-12","","","","","","","","","","","","","","","","","",""
"0.852662384675932","2.91033863675239e-12","7.24420523567915e-14","3.41323680867956e-12","","","","","","","","","","","","","","","","","",""
"0.852662384677387","1.45516931837619e-12","2.46747067222941e-13","1.70661840433687e-12","","","","","","","","","","","","","","","","","",""
"0.85266238467666","7.27640170339328e-13","8.71525074330748e-14","8.5324409885016e-13","","","","","","","","","","","","","","","","","",""
"0.852662384676296","3.63820085169664e-13","7.32747196252603e-15","4.26687152744265e-13","","","","","","","","","","","","","","","","","",""
"0.852662384676114","1.81965553736063e-13","3.26960680752109e-14","2.13408679691181e-13","","","","","","","","","","","","","","","","","",""
"0.852662384676205","9.09272657168003e-14","1.26010313294955e-14","1.06769443164582e-13","","","","","","","","","","","","","","","","","",""
"0.852662384676251","4.54081217071689e-14","2.66453525910038e-15","5.3384721582288e-14","","","","","","","","","","","","","","","","","",""
"0.852662384676273","2.26485497023532e-14","2.38697950294409e-15","2.65621541531377e-14","","","","","","","","","","","","","","","","","",""
"0.852662384676262","1.13242748511766e-14","2.77555756156289e-16","1.3281077076569e-14","","","","","","","","","","","","","","","","","",""
"0.852662384676268","5.6621374255883e-15","1.0547118733939e-15","6.64053853828448e-15","","","","","","","","","","","","","","","","","",""
"0.852662384676265","2.88657986402541e-15","3.88578058618805e-16","3.25516595013946e-15","","","","","","","","","","","","","","","","","",""
"0.852662384676263","1.4432899320127e-15","1.11022302462516e-16","1.69268629407252e-15","","","","","","","","","","","","","","","","","",""
"0.852662384676263","7.7715611723761e-16","5.55111512312578e-17","9.11446466039051e-16","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","User","System","Elapsed","Cumulative","Spawned","","","","","","","","","","","","","","","",""
"Time:","0.0410000000000004","0","0.0410000000001673","0","0","","","","","","","","","","","","","","","",""
