"","Metodo","bissecao","","","","","","","Metodo","newton","","","","","","","Metodo","secante","","",""
"X","Tolerancia 1","Tolerancia 2","Tolerancia 3","","","","","X","Tolerancia 1","Tolerancia 2","Tolerancia 3","","","","","X","Tolerancia 1","Tolerancia 2","Tolerancia 3","",""
"-1.00000000000006","1.70530256582424e-13","5.6843418860808e-14","1.70530256582414e-13","","","","","","","","","","","","","","","","","",""
"-0.999999999999972","8.5265128291212e-14","2.8421709430404e-14","8.52651282912144e-14","","","","","","","","","","","","","","","","","",""
"-1.00000000000001","4.2632564145606e-14","1.4210854715202e-14","4.26325641456054e-14","","","","","","","","","","","","","","","","","",""
"-0.999999999999993","2.1316282072803e-14","7.105427357601e-15","2.13162820728032e-14","","","","","","","","","","","","","","","","","",""
"-1","1.06581410364015e-14","3.5527136788005e-15","1.06581410364015e-14","","","","","","","","","","","","","","","","","",""
"-0.999999999999998","5.32907051820075e-15","1.77635683940025e-15","5.32907051820076e-15","","","","","","","","","","","","","","","","","",""
"-1","2.66453525910038e-15","8.88178419700125e-16","2.66453525910037e-15","","","","","","","","","","","","","","","","","",""
"-1","1.33226762955019e-15","4.44089209850063e-16","1.33226762955019e-15","","","","","","","","","","","","","","","","","",""
"-1","6.66133814775094e-16","2.22044604925031e-16","6.66133814775094e-16","","","","","","","","","","","","","","","","","",""
"-1","3.33066907387547e-16","0","3.33066907387547e-16","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","User","System","Elapsed","Cumulative","Spawned","","","","","","","","","","","","","","","",""
"Time:","0.0399999999999991","0","0.0389999999999873","0","0","","","","","","","","","","","","","","","",""
